Name,Address1,Address2,Area
Supervalu,Talbot Street,,Dublin 1
Golden Grain Chinese Take Away,151 Kilester Avenue,,Dublin 5
China House,180 Parnell Street,,Dublin 1
Bank of Scotland House,124-127 St. Stephens Green,,Dublin 2
Spar,9a Lower Abbey Street,,Dublin 1
Spar,25/26 Dolier Street,,Dublin 2
Spar,28 Westmoreland Street,,Dublin 2
Marks & Spencer,Mary Street,,Dublin 1
Listons,26 Lr Camden St,,Dublin 2
The Village Coffee Shop,Coolock Village,,Dublin 5
The 51 Public House,Haddington Road,,Dublin 4
Borza's Take-Away,5 Sandymount Green,,Dublin 4
Casanostra Restaurant,85 Marlborough St,,Dublin 1
The Food Room,46 Clontarf Road,,Dublin 3
Fitzgeralds Bar,22 Aston Quay,,Dublin 2
Kates Cottage,1 Amien Street,,Dublin 1
St. Kevins Mart,13-14a Kevin Street Uppert,,Dublin 8
Spar,21-24 Capel Street,,Dublin 1
Spar,Unit 2 Georges Quay,,Dublin 1
Antica Venezia,97 Ashfield Rd,Ranelagh,Dublin 6
